carrier,dep_time,dep_delay,arr_delay,dest,tailnum
B6,2023-01-05 18:25:27,12.0,67.0,ATL,N222UA
WN,2023-01-02 12:29:33,35.0,119.0,JFK,N333B6
UA,2023-01-06 01:47:32,78.0,167.0,LAX,N123AA
WN,2023-01-02 08:01:34,7.0,19.0,SFO,N222UA
WN,2023-01-06 07:37:31,23.0,94.0,JFK,N222UA
DL,2023-01-01 18:15:26,71.0,167.0,LAX,N123AA
UA,2023-01-02 15:19:24,40.0,152.0,SFO,N444WN
UA,2023-01-05 08:56:52,12.0,61.0,JFK,N222UA
UA,2023-01-04 02:30:46,58.0,73.0,JFK,N444WN
WN,2023-01-02 08:46:55,63.0,82.0,LAX,N123AA
B6,2023-01-03 22:34:39,41.0,61.0,ORD,N444WN
UA,2023-01-07 09:02:09,117.0,-2.0,JFK,N987DL
WN,2023-01-06 22:42:38,19.0,24.0,JFK,N333B6
DL,2023-01-05 05:38:10,,67.0,SFO,N222UA
B6,2023-01-06 03:38:21,78.0,53.0,ATL,N333B6
DL,2023-01-01 10:10:31,59.0,-10.0,LAX,N444WN
B6,2023-01-01 20:16:31,54.0,51.0,LAX,N222UA
WN,2023-01-01 01:06:54,29.0,132.0,ORD,N444WN
AA,2023-01-04 03:53:57,11.0,-10.0,ORD,N987DL
B6,2023-01-01 05:01:10,52.0,167.0,LAX,N123AA
DL,2023-01-01 15:49:18,76.0,27.0,ORD,N222UA
WN,2023-01-01 22:47:54,52.0,-10.0,SFO,N987DL
B6,2023-01-07 04:36:57,50.0,154.0,LAX,N987DL
AA,2023-01-03 00:54:49,84.0,127.0,ORD,N222UA
AA,2023-01-03 06:49:52,86.0,-2.0,LAX,N444WN
UA,2023-01-02 20:07:03,4.0,61.0,ATL,N987DL
UA,2023-01-05 13:10:02,4.0,61.0,JFK,N333B6
DL,2023-01-06 18:34:23,95.0,67.0,LAX,N987DL
B6,2023-01-05 06:07:34,95.0,82.0,JFK,N444WN
B6,2023-01-07 16:50:36,27.0,67.0,ORD,N444WN
UA,2023-01-07 03:14:49,11.0,157.0,JFK,N333B6
B6,2023-01-02 17:44:22,78.0,157.0,LAX,N987DL
B6,2023-01-06 03:01:45,21.0,161.0,ATL,N444WN
AA,2023-01-03 17:22:42,86.0,119.0,ORD,N222UA
UA,2023-01-06 03:23:29,27.0,67.0,LAX,N123AA
WN,2023-01-07 09:51:20,,73.0,ORD,N123AA
UA,2023-01-03 13:06:03,105.0,94.0,SFO,N123AA
WN,2023-01-06 13:32:41,114.0,132.0,JFK,N987DL
AA,2023-01-03 21:05:10,58.0,154.0,SFO,N333B6
DL,2023-01-03 13:23:04,2.0,126.0,LAX,N444WN
B6,2023-01-04 01:28:32,,-10.0,ATL,N222UA
AA,2023-01-07 23:11:03,12.0,151.0,ORD,N222UA
B6,2023-01-04 02:39:59,108.0,82.0,JFK,N987DL
DL,2023-01-03 17:59:09,109.0,106.0,ORD,N123AA
DL,2023-01-07 21:05:19,41.0,139.0,LAX,N987DL
AA,2023-01-06 14:31:39,29.0,126.0,ORD,N333B6
DL,2023-01-06 04:43:02,76.0,53.0,JFK,N333B6
WN,2023-01-02 10:27:26,22.0,-10.0,LAX,N444WN
DL,2023-01-05 16:56:59,24.0,49.0,ORD,N444WN
B6,2023-01-01 08:54:57,7.0,106.0,ATL,N333B6
B6,2023-01-03 15:57:09,41.0,-10.0,LAX,N333B6
B6,2023-01-02 09:00:34,84.0,119.0,LAX,N333B6
B6,2023-01-02 02:04:08,90.0,58.0,ATL,N987DL
WN,2023-01-01 14:42:01,94.0,127.0,SFO,N333B6
UA,2023-01-04 07:07:01,,52.0,JFK,N222UA
AA,2023-01-01 15:26:49,113.0,2.0,SFO,N123AA
B6,2023-01-03 15:18:17,52.0,52.0,ORD,N333B6
DL,2023-01-01 08:37:04,0.0,-10.0,ATL,N123AA
B6,2023-01-01 19:31:53,0.0,53.0,SFO,N987DL
DL,2023-01-05 12:19:17,11.0,6.0,LAX,N123AA
DL,2023-01-03 03:07:58,59.0,65.0,ORD,N987DL
B6,2023-01-05 03:17:09,112.0,154.0,ORD,N222UA
WN,2023-01-06 08:07:23,86.0,139.0,SFO,N987DL
DL,2023-01-02 07:33:52,112.0,19.0,SFO,N987DL
DL,2023-01-03 21:50:51,4.0,177.0,ATL,N444WN
B6,2023-01-01 00:50:51,78.0,132.0,JFK,N333B6
DL,2023-01-05 08:40:36,21.0,126.0,SFO,N333B6
DL,2023-01-03 04:36:47,30.0,73.0,SFO,N222UA
B6,2023-01-06 04:49:55,35.0,2.0,LAX,N222UA
B6,2023-01-06 08:34:54,105.0,126.0,ORD,N333B6
AA,2023-01-03 10:50:10,24.0,154.0,JFK,N444WN
WN,2023-01-01 20:25:23,50.0,119.0,LAX,N333B6
WN,2023-01-02 02:14:36,41.0,62.0,ATL,N444WN
DL,2023-01-03 16:57:21,50.0,19.0,ATL,N222UA
WN,2023-01-03 13:54:26,90.0,127.0,SFO,N123AA
DL,2023-01-02 00:04:32,41.0,106.0,SFO,N222UA
AA,2023-01-07 22:08:55,67.0,65.0,ATL,N222UA
B6,2023-01-04 23:48:14,0.0,67.0,SFO,N987DL
B6,2023-01-01 07:50:51,112.0,67.0,JFK,N987DL
B6,2023-01-05 08:05:10,40.0,139.0,SFO,N987DL
WN,2023-01-07 08:50:33,105.0,139.0,ORD,N987DL
AA,2023-01-01 08:56:57,41.0,67.0,SFO,N444WN
WN,2023-01-01 02:18:28,50.0,3.0,LAX,N333B6
WN,2023-01-04 02:28:13,63.0,106.0,JFK,N123AA
AA,2023-01-03 02:51:02,106.0,2.0,LAX,N222UA
AA,2023-01-05 13:32:46,112.0,84.0,LAX,N444WN
AA,2023-01-02 03:50:35,0.0,90.0,ORD,N123AA
AA,2023-01-01 20:45:40,103.0,52.0,JFK,N444WN
B6,2023-01-05 09:08:16,105.0,61.0,JFK,N444WN
UA,2023-01-03 01:14:07,11.0,53.0,JFK,N222UA
UA,2023-01-07 03:05:25,52.0,157.0,JFK,N333B6
AA,2023-01-01 05:34:16,119.0,73.0,JFK,N987DL
UA,2023-01-03 01:03:35,2.0,51.0,ORD,N333B6
UA,2023-01-03 04:07:08,95.0,154.0,SFO,N222UA
AA,2023-01-05 07:47:12,11.0,67.0,LAX,N222UA
UA,2023-01-02 13:20:15,95.0,24.0,JFK,N222UA
WN,2023-01-05 16:58:36,11.0,3.0,SFO,N123AA
DL,2023-01-06 04:00:38,111.0,62.0,SFO,N333B6
DL,2023-01-07 09:47:43,106.0,67.0,LAX,N333B6
AA,2023-01-07 06:20:52,52.0,6.0,ORD,N444WN
B6,2023-01-03 22:12:44,41.0,61.0,ATL,N444WN
AA,2023-01-06 09:41:22,54.0,152.0,ATL,N444WN
B6,2023-01-06 22:15:53,30.0,167.0,SFO,N222UA
DL,2023-01-01 18:40:15,58.0,-10.0,LAX,N333B6
AA,2023-01-02 16:05:56,-1.0,154.0,ATL,N222UA
WN,2023-01-03 08:37:41,-1.0,61.0,SFO,N123AA
UA,2023-01-05 02:46:52,59.0,3.0,ORD,N444WN
B6,2023-01-06 06:16:45,35.0,62.0,ATL,N222UA
UA,2023-01-01 02:37:15,105.0,49.0,SFO,N222UA
UA,2023-01-06 04:19:16,112.0,139.0,SFO,N123AA
AA,2023-01-07 15:53:01,86.0,-6.0,JFK,N987DL
UA,2023-01-01 21:53:01,57.0,119.0,ORD,N333B6
WN,2023-01-03 05:11:15,76.0,2.0,JFK,N987DL
UA,2023-01-02 20:29:56,35.0,49.0,LAX,N444WN
AA,2023-01-03 14:55:07,57.0,73.0,JFK,N222UA
WN,2023-01-04 13:01:03,22.0,94.0,JFK,N123AA
DL,2023-01-02 09:39:32,2.0,72.0,ATL,N123AA
UA,2023-01-05 03:08:22,108.0,109.0,SFO,N333B6
AA,2023-01-06 14:42:43,2.0,65.0,ORD,N987DL
DL,2023-01-06 06:39:28,23.0,54.0,JFK,N333B6
DL,2023-01-04 16:31:57,84.0,67.0,ORD,N222UA
B6,2023-01-01 16:25:01,109.0,126.0,JFK,N333B6
WN,2023-01-06 17:46:12,84.0,-2.0,LAX,N123AA
UA,2023-01-04 08:13:10,40.0,61.0,JFK,N123AA
AA,2023-01-07 08:02:17,119.0,0.0,ATL,N444WN
B6,2023-01-05 04:04:20,109.0,58.0,SFO,N444WN
WN,2023-01-07 20:37:53,90.0,90.0,LAX,N222UA
B6,2023-01-06 00:22:54,105.0,51.0,JFK,N987DL
WN,2023-01-07 08:06:17,27.0,,ORD,N333B6
WN,2023-01-05 07:26:10,78.0,24.0,LAX,N222UA
UA,2023-01-04 03:32:47,52.0,49.0,LAX,N444WN
WN,2023-01-03 05:07:12,67.0,38.0,JFK,N333B6
B6,2023-01-04 12:28:39,29.0,67.0,LAX,N444WN
WN,2023-01-01 02:39:00,103.0,24.0,ORD,N333B6
UA,2023-01-07 06:10:52,71.0,139.0,LAX,N987DL
UA,2023-01-05 14:30:27,78.0,51.0,ORD,N222UA
B6,2023-01-07 09:19:11,54.0,,JFK,N333B6
DL,2023-01-01 14:26:31,,67.0,SFO,N123AA
DL,2023-01-03 04:25:51,52.0,61.0,LAX,N123AA
WN,2023-01-05 05:45:26,117.0,132.0,SFO,N333B6
AA,2023-01-01 13:38:35,94.0,38.0,ORD,N333B6
WN,2023-01-05 02:05:51,7.0,154.0,LAX,N333B6
B6,2023-01-03 05:19:22,27.0,54.0,ATL,N123AA
B6,2023-01-02 17:25:43,41.0,54.0,SFO,N123AA
B6,2023-01-07 04:57:06,12.0,52.0,LAX,N333B6
B6,2023-01-05 02:17:04,21.0,67.0,SFO,N444WN
B6,2023-01-01 01:06:40,7.0,0.0,LAX,N444WN
UA,2023-01-05 02:49:14,114.0,53.0,JFK,N987DL
DL,2023-01-03 21:51:32,40.0,167.0,SFO,N222UA
B6,2023-01-06 18:45:22,86.0,67.0,ATL,N444WN
AA,2023-01-06 16:24:32,7.0,90.0,ATL,N123AA
AA,2023-01-01 10:38:24,112.0,53.0,ORD,N444WN
AA,2023-01-06 20:16:39,71.0,127.0,LAX,N987DL
AA,2023-01-04 20:06:33,112.0,119.0,SFO,N987DL
UA,2023-01-02 18:10:36,0.0,152.0,ORD,N222UA
AA,2023-01-02 06:15:40,-1.0,106.0,SFO,N444WN
B6,2023-01-04 01:45:17,59.0,29.0,LAX,N123AA
WN,2023-01-05 11:09:37,11.0,106.0,ATL,N123AA
AA,2023-01-07 09:13:58,7.0,27.0,JFK,N333B6
UA,2023-01-07 08:40:39,60.0,3.0,ATL,N123AA
UA,2023-01-04 21:44:57,,49.0,ORD,N222UA
AA,2023-01-03 09:44:29,22.0,67.0,JFK,N222UA
WN,2023-01-01 18:19:13,12.0,177.0,ORD,N123AA
AA,2023-01-06 18:58:48,19.0,167.0,LAX,N123AA
UA,2023-01-01 00:54:27,112.0,119.0,JFK,N333B6
DL,2023-01-01 22:59:05,112.0,157.0,ORD,N123AA
B6,2023-01-02 19:39:24,71.0,177.0,LAX,N333B6
UA,2023-01-07 04:47:06,21.0,-10.0,ATL,N333B6
AA,2023-01-02 12:31:24,7.0,72.0,LAX,N123AA
B6,2023-01-07 03:43:51,29.0,126.0,SFO,N987DL
AA,2023-01-01 16:51:32,86.0,3.0,LAX,N987DL
AA,2023-01-03 13:09:16,21.0,58.0,LAX,N333B6
DL,2023-01-03 14:13:12,106.0,67.0,SFO,N123AA
B6,2023-01-06 23:32:51,30.0,109.0,ORD,N987DL
B6,2023-01-07 12:24:04,114.0,112.0,ORD,N123AA
DL,2023-01-07 06:52:56,7.0,38.0,LAX,N123AA
UA,2023-01-02 07:45:52,21.0,72.0,SFO,N123AA
AA,2023-01-01 23:53:19,105.0,119.0,SFO,N444WN
WN,2023-01-01 04:59:15,44.0,27.0,ATL,N123AA
AA,2023-01-01 19:37:20,84.0,84.0,ORD,N444WN
AA,2023-01-03 06:36:22,112.0,0.0,JFK,N333B6
UA,2023-01-05 15:16:13,86.0,72.0,ORD,N987DL
AA,2023-01-05 22:14:55,27.0,84.0,ORD,N987DL
DL,2023-01-01 17:04:36,-1.0,58.0,ATL,N987DL
DL,2023-01-04 13:15:55,112.0,109.0,JFK,N987DL
B6,2023-01-02 22:28:00,114.0,61.0,ATL,N987DL
WN,2023-01-07 21:24:28,67.0,72.0,JFK,N987DL
AA,2023-01-05 19:09:28,50.0,119.0,LAX,N987DL
AA,2023-01-03 03:42:21,19.0,,JFK,N333B6
UA,2023-01-07 05:38:05,105.0,24.0,ATL,N123AA
DL,2023-01-03 01:27:11,112.0,6.0,ORD,N222UA
WN,2023-01-02 09:06:20,23.0,151.0,JFK,N444WN
B6,2023-01-01 18:23:54,4.0,51.0,JFK,N222UA
DL,2023-01-07 12:44:02,29.0,67.0,SFO,N222UA
B6,2023-01-03 01:32:32,95.0,83.0,ORD,N123AA
UA,2023-01-01 22:04:19,24.0,24.0,LAX,N123AA
UA,2023-01-05 17:53:15,11.0,151.0,ATL,N123AA
AA,2023-01-03 06:10:04,24.0,126.0,LAX,N987DL
WN,2023-01-06 09:29:12,71.0,72.0,ORD,N333B6
B6,2023-01-01 16:26:03,7.0,19.0,JFK,N987DL
DL,2023-01-06 12:10:53,113.0,126.0,JFK,N333B6
UA,2023-01-01 14:25:34,23.0,151.0,ORD,N333B6
AA,2023-01-05 22:12:03,11.0,141.0,JFK,N222UA
AA,2023-01-06 06:08:57,58.0,61.0,JFK,N222UA
B6,2023-01-01 01:31:26,111.0,83.0,JFK,N333B6
UA,2023-01-02 14:43:27,23.0,152.0,ATL,N333B6
WN,2023-01-03 13:09:44,2.0,,ATL,N987DL
UA,2023-01-05 01:07:32,95.0,-2.0,SFO,N987DL
B6,2023-01-04 17:38:30,84.0,67.0,LAX,N222UA
B6,2023-01-03 06:56:15,117.0,154.0,ORD,N123AA
UA,2023-01-04 08:22:16,114.0,112.0,ORD,N333B6
B6,2023-01-02 00:56:20,67.0,127.0,ORD,N987DL
UA,2023-01-02 18:23:37,112.0,109.0,SFO,N222UA
DL,2023-01-07 07:39:37,60.0,72.0,ATL,N987DL
UA,2023-01-05 01:23:25,112.0,112.0,SFO,N333B6
UA,2023-01-07 04:13:56,71.0,151.0,ORD,N333B6
B6,2023-01-01 10:35:02,41.0,53.0,LAX,N444WN
B6,2023-01-01 20:41:00,112.0,67.0,JFK,N123AA
AA,2023-01-05 05:19:38,22.0,119.0,ATL,N444WN
AA,2023-01-02 00:58:50,108.0,,ATL,N222UA
DL,2023-01-07 03:31:29,12.0,73.0,SFO,N987DL
AA,2023-01-03 01:46:48,113.0,126.0,ATL,N222UA
UA,2023-01-02 18:58:17,27.0,82.0,ORD,N333B6
B6,2023-01-03 11:25:45,103.0,161.0,ORD,N444WN
AA,2023-01-03 16:25:15,117.0,24.0,SFO,N444WN
AA,2023-01-03 09:48:44,4.0,52.0,ORD,N444WN
DL,2023-01-06 01:31:17,54.0,52.0,LAX,N222UA
DL,2023-01-07 02:03:50,7.0,83.0,SFO,N333B6
UA,2023-01-04 06:50:21,41.0,24.0,LAX,N987DL
B6,2023-01-03 01:23:24,114.0,29.0,JFK,N987DL
DL,2023-01-01 10:51:21,54.0,-10.0,LAX,N222UA
AA,2023-01-05 02:40:49,4.0,51.0,JFK,N444WN
B6,2023-01-03 13:05:30,63.0,109.0,JFK,N123AA
