carrier,dep_date,n,avg_dep_delay
AA,2023-01-01,5,37.2
AA,2023-01-02,5,57
AA,2023-01-03,7,75.85714285714286
AA,2023-01-04,9,34.22222222222222
AA,2023-01-05,4,110.5
AA,2023-01-06,8,55.5
AA,2023-01-07,6,53
AA,2023-01-08,7,74.42857142857143
AA,2023-01-09,9,37.333333333333336
AA,2023-01-10,5,83.2
B6,2023-01-01,5,94.2
B6,2023-01-02,7,91.85714285714286
B6,2023-01-03,8,99.75
B6,2023-01-04,7,99.85714285714286
B6,2023-01-05,9,91.44444444444444
B6,2023-01-06,9,85.55555555555556
B6,2023-01-07,5,93
B6,2023-01-08,5,59.6
B6,2023-01-09,5,56.6
B6,2023-01-10,8,44.5
DL,2023-01-01,4,71.25
DL,2023-01-02,5,47
DL,2023-01-03,8,66
DL,2023-01-04,4,100
DL,2023-01-05,5,95.6
DL,2023-01-06,7,65.28571428571429
DL,2023-01-07,6,82.66666666666667
DL,2023-01-08,4,63.5
DL,2023-01-09,12,58.36363636363637
DL,2023-01-10,7,79.28571428571429
UA,2023-01-01,4,77.5
UA,2023-01-02,7,82.71428571428571
UA,2023-01-03,7,69
UA,2023-01-04,7,107.71428571428571
UA,2023-01-05,2,83
UA,2023-01-06,2,97.5
UA,2023-01-07,8,90.125
UA,2023-01-08,5,106.6
UA,2023-01-09,9,75.66666666666667
UA,2023-01-10,4,103.25
WN,2023-01-01,10,64.33333333333333
WN,2023-01-02,5,75
WN,2023-01-03,2,76.5
WN,2023-01-04,6,83.33333333333333
WN,2023-01-05,7,43.57142857142857
WN,2023-01-06,3,112
WN,2023-01-07,7,95.85714285714286
WN,2023-01-08,9,85
WN,2023-01-09,11,77.45454545454545
WN,2023-01-10,10,63.9
