carrier,dest,dep_delay,arr_delay,dep_delay_filled,arr_delay_filled
AA,ATL,-3,83,-3,83
AA,ATL,-3,215,-3,215
AA,ATL,11,1,11,1
AA,ATL,11,225,11,225
AA,ATL,51,98,51,98
AA,ATL,71,52,71,52
AA,ATL,72,133,72,133
AA,ATL,74,212,74,212
AA,ATL,80,12,80,12
AA,ATL,94,93,94,93
AA,ATL,94,105,94,105
AA,ATL,98,225,98,225
AA,ATL,114,191,114,191
AA,DFW,11,171,11,171
AA,DFW,19,38,19,38
AA,DFW,146,196,146,196
AA,JFK,-3,38,-3,38
AA,JFK,-3,110,-3,110
AA,JFK,-3,228,-3,228
AA,JFK,-1,220,-1,220
AA,JFK,15,37,15,37
AA,JFK,20,4,20,4
AA,JFK,20,191,20,191
AA,JFK,26,139,26,139
AA,JFK,30,37,30,37
AA,JFK,51,2,51,2
AA,JFK,69,238,69,238
AA,JFK,70,171,70,171
AA,JFK,72,238,72,238
AA,JFK,94,-7,94,-7
AA,JFK,104,189,104,189
AA,JFK,109,2,109,2
AA,JFK,134,-7,134,-7
AA,LAX,-3,129,-3,129
AA,LAX,11,83,11,83
AA,LAX,11,212,11,212
AA,LAX,12,8,12,8
AA,LAX,19,200,19,200
AA,LAX,24,189,24,189
AA,LAX,51,158,51,158
AA,LAX,94,47,94,47
AA,LAX,96,110,96,110
AA,LAX,104,203,104,203
AA,LAX,110,89,110,89
AA,LAX,127,25,127,25
AA,LAX,134,152,134,152
AA,ORD,-3,31,-3,31
AA,ORD,-1,8,-1,8
AA,ORD,3,171,3,171
AA,ORD,4,67,4,67
AA,ORD,15,214,15,214
AA,ORD,69,105,69,105
AA,ORD,98,171,98,171
AA,ORD,109,19,109,19
AA,ORD,114,92,114,92
AA,ORD,169,16,169,16
AA,SFO,12,238,12,238
AA,SFO,26,173,26,173
AA,SFO,34,195,34,195
AA,SFO,71,154,71,154
AA,SFO,72,203,72,203
AA,SFO,94,81,94,81
AA,SFO,110,185,110,185
AA,SFO,123,154,123,154
AA,SFO,134,81,134,81
B6,ATL,5,38,5,38
B6,ATL,11,31,11,31
B6,ATL,19,110,19,110
B6,ATL,35,238,35,238
B6,ATL,109,108,109,108
B6,ATL,115,123,115,123
B6,ATL,131,16,131,16
B6,DFW,22,94,22,94
B6,DFW,28,229,28,229
B6,DFW,66,96,66,96
B6,DFW,71,81,71,81
B6,DFW,94,2,94,2
B6,DFW,100,163,100,163
B6,DFW,109,220,109,220
B6,DFW,127,222,127,222
B6,DFW,146,203,146,203
B6,DFW,158,111,158,111
B6,DFW,173,123,173,123
B6,DFW,173,212,173,212
B6,JFK,3,152,3,152
B6,JFK,3,190,3,190
B6,JFK,20,,20,0
B6,JFK,26,126,26,126
B6,JFK,60,1,60,1
B6,JFK,62,211,62,211
B6,JFK,70,96,70,96
B6,JFK,72,2,72,2
B6,JFK,98,38,98,38
B6,JFK,102,83,102,83
B6,JFK,102,108,102,108
B6,JFK,108,211,108,211
B6,JFK,146,228,146,228
B6,JFK,173,16,173,16
B6,JFK,177,238,177,238
B6,LAX,-3,4,-3,4
B6,LAX,2,129,2,129
B6,LAX,4,130,4,130
B6,LAX,20,3,20,3
B6,LAX,20,5,20,5
B6,LAX,22,29,22,29
B6,LAX,114,81,114,81
B6,LAX,131,152,131,152
B6,LAX,131,238,131,238
B6,LAX,144,81,144,81
B6,LAX,167,152,167,152
B6,LAX,169,154,169,154
B6,ORD,46,38,46,38
B6,ORD,62,154,62,154
B6,ORD,71,202,71,202
B6,ORD,74,134,74,134
B6,ORD,98,2,98,2
B6,ORD,104,81,104,81
B6,ORD,134,129,134,129
B6,SFO,3,134,3,134
B6,SFO,19,148,19,148
B6,SFO,20,225,20,225
B6,SFO,46,3,46,3
B6,SFO,47,79,47,79
B6,SFO,70,203,70,203
B6,SFO,72,191,72,191
B6,SFO,74,212,74,212
B6,SFO,96,215,96,215
B6,SFO,96,228,96,228
B6,SFO,102,96,102,96
B6,SFO,108,225,108,225
B6,SFO,127,79,127,79
B6,SFO,144,70,144,70
B6,SFO,158,1,158,1
DL,ATL,-3,225,-3,225
DL,ATL,,79,0,79
DL,ATL,3,10,3,10
DL,ATL,4,225,4,225
DL,ATL,20,123,20,123
DL,ATL,71,4,71,4
DL,ATL,134,95,134,95
DL,ATL,150,189,150,189
DL,ATL,156,139,156,139
DL,ATL,168,94,168,94
DL,ATL,173,-7,173,-7
DL,DFW,-3,20,-3,20
DL,DFW,,-7,0,-7
DL,DFW,26,94,26,94
DL,DFW,47,10,47,10
DL,DFW,59,1,59,1
DL,DFW,59,215,59,215
DL,DFW,62,20,62,20
DL,DFW,66,83,66,83
DL,DFW,98,214,98,214
DL,DFW,104,214,104,214
DL,DFW,134,95,134,95
DL,DFW,144,191,144,191
DL,DFW,150,225,150,225
DL,JFK,0,38,0,38
DL,JFK,0,123,0,123
DL,JFK,11,211,11,211
DL,JFK,20,79,20,79
DL,JFK,20,190,20,190
DL,JFK,59,152,59,152
DL,JFK,66,10,66,10
DL,JFK,66,214,66,214
DL,JFK,72,5,72,5
DL,JFK,107,67,107,67
DL,JFK,131,6,131,6
DL,JFK,150,-7,150,-7
DL,LAX,3,4,3,4
DL,LAX,5,238,5,238
DL,LAX,12,105,12,105
DL,LAX,19,203,19,203
DL,LAX,69,,69,0
DL,LAX,70,16,70,16
DL,LAX,115,75,115,75
DL,LAX,156,158,156,158
DL,LAX,164,-7,164,-7
DL,LAX,167,229,167,229
DL,ORD,-3,126,-3,126
DL,ORD,3,1,3,1
DL,ORD,3,207,3,207
DL,ORD,30,211,30,211
DL,ORD,34,108,34,108
DL,ORD,80,94,80,94
DL,ORD,115,94,115,94
DL,SFO,-1,134,-1,134
DL,SFO,11,67,11,67
DL,SFO,46,75,46,75
DL,SFO,60,75,60,75
DL,SFO,72,5,72,5
DL,SFO,104,202,104,202
