carrier,dep_time,dep_delay,arr_delay,dest,tailnum,name,join_type
AA,2023-01-01T06:41:31Z,26,173,SFO,N987DL,American Airlines Inc.,inner
AA,2023-01-01T07:06:06Z,11,225,ATL,N987DL,American Airlines Inc.,inner
AA,2023-01-01T09:36:06Z,20,191,JFK,N222UA,American Airlines Inc.,inner
AA,2023-01-01T09:45:07Z,20,4,JFK,N333B6,American Airlines Inc.,inner
AA,2023-01-01T15:51:29Z,109,19,ORD,N987DL,American Airlines Inc.,inner
AA,2023-01-02T04:25:54Z,98,225,ATL,N987DL,American Airlines Inc.,inner
AA,2023-01-02T05:54:30Z,72,238,JFK,N222UA,American Airlines Inc.,inner
AA,2023-01-02T14:39:51Z,12,8,LAX,N333B6,American Airlines Inc.,inner
AA,2023-01-02T17:28:04Z,104,203,LAX,N987DL,American Airlines Inc.,inner
AA,2023-01-02T20:58:12Z,-1,8,ORD,N222UA,American Airlines Inc.,inner
AA,2023-01-03T03:14:54Z,109,2,JFK,N555AA,American Airlines Inc.,inner
AA,2023-01-03T03:29:56Z,94,-7,JFK,N555AA,American Airlines Inc.,inner
AA,2023-01-03T03:30:50Z,127,25,LAX,N123AA,American Airlines Inc.,inner
AA,2023-01-03T07:21:55Z,24,189,LAX,N222UA,American Airlines Inc.,inner
AA,2023-01-03T07:26:55Z,72,133,ATL,N123AA,American Airlines Inc.,inner
AA,2023-01-03T10:35:44Z,34,195,SFO,N222UA,American Airlines Inc.,inner
AA,2023-01-03T17:38:47Z,71,52,ATL,N123AA,American Airlines Inc.,inner
AA,2023-01-04T04:14:44Z,4,67,ORD,N123AA,American Airlines Inc.,inner
AA,2023-01-04T05:26:03Z,-3,38,JFK,N123AA,American Airlines Inc.,inner
AA,2023-01-04T05:59:50Z,104,189,JFK,N123AA,American Airlines Inc.,inner
AA,2023-01-04T08:22:28Z,12,238,SFO,N555AA,American Airlines Inc.,inner
AA,2023-01-04T11:37:50Z,-1,220,JFK,N987DL,American Airlines Inc.,inner
AA,2023-01-04T17:10:50Z,30,37,JFK,N333B6,American Airlines Inc.,inner
AA,2023-01-04T21:56:03Z,-3,31,ORD,N555AA,American Airlines Inc.,inner
AA,2023-01-04T22:25:17Z,114,92,ORD,N222UA,American Airlines Inc.,inner
AA,2023-01-04T23:50:01Z,51,2,JFK,N222UA,American Airlines Inc.,inner
AA,2023-01-05T13:40:23Z,110,185,SFO,N555AA,American Airlines Inc.,inner
AA,2023-01-05T13:42:12Z,169,16,ORD,N987DL,American Airlines Inc.,inner
AA,2023-01-05T20:09:42Z,94,105,ATL,N222UA,American Airlines Inc.,inner
