carrier,dep_delay,bucket
AA,-3,on_time_or_early
AA,-3,on_time_or_early
AA,-3,on_time_or_early
AA,-3,on_time_or_early
AA,-3,on_time_or_early
AA,-3,on_time_or_early
AA,-3,on_time_or_early
AA,-1,on_time_or_early
AA,-1,on_time_or_early
AA,3,minor
AA,4,minor
AA,11,minor
AA,11,minor
AA,11,minor
AA,11,minor
AA,11,minor
AA,12,minor
AA,12,minor
AA,15,minor
AA,15,minor
AA,19,moderate
AA,19,moderate
AA,20,moderate
AA,20,moderate
AA,24,moderate
AA,26,moderate
AA,26,moderate
AA,30,moderate
AA,34,moderate
AA,51,moderate
AA,51,moderate
AA,51,moderate
AA,69,severe
AA,69,severe
AA,70,severe
AA,71,severe
AA,71,severe
AA,72,severe
AA,72,severe
AA,72,severe
AA,74,severe
AA,80,severe
AA,94,severe
AA,94,severe
AA,94,severe
AA,94,severe
AA,94,severe
AA,96,severe
AA,98,severe
AA,98,severe
AA,104,severe
AA,104,severe
AA,109,severe
AA,109,severe
AA,110,severe
AA,110,severe
AA,114,severe
AA,114,severe
AA,123,severe
AA,127,severe
AA,134,severe
AA,134,severe
AA,134,severe
AA,146,severe
AA,169,severe
B6,-3,on_time_or_early
B6,2,minor
B6,3,minor
B6,3,minor
B6,3,minor
B6,4,minor
B6,5,minor
B6,11,minor
B6,19,moderate
B6,19,moderate
B6,20,moderate
B6,20,moderate
B6,20,moderate
B6,20,moderate
B6,22,moderate
B6,22,moderate
B6,26,moderate
B6,28,moderate
B6,35,moderate
B6,46,moderate
B6,46,moderate
B6,47,moderate
B6,60,moderate
B6,62,severe
B6,62,severe
B6,66,severe
B6,70,severe
B6,70,severe
B6,71,severe
B6,71,severe
B6,72,severe
B6,72,severe
B6,74,severe
B6,74,severe
B6,94,severe
B6,96,severe
B6,96,severe
B6,98,severe
B6,98,severe
B6,100,severe
B6,102,severe
B6,102,severe
B6,102,severe
B6,104,severe
B6,108,severe
B6,108,severe
B6,109,severe
B6,109,severe
B6,114,severe
B6,115,severe
B6,127,severe
B6,127,severe
B6,131,severe
B6,131,severe
B6,131,severe
B6,134,severe
B6,144,severe
B6,144,severe
B6,146,severe
B6,146,severe
B6,158,severe
B6,158,severe
B6,167,severe
B6,169,severe
B6,173,severe
B6,173,severe
B6,173,severe
B6,177,severe
DL,-3,on_time_or_early
DL,-3,on_time_or_early
DL,-3,on_time_or_early
DL,-1,on_time_or_early
DL,0,on_time_or_early
DL,0,on_time_or_early
DL,3,minor
DL,3,minor
DL,3,minor
DL,3,minor
DL,4,minor
DL,5,minor
DL,11,minor
DL,11,minor
DL,12,minor
DL,19,moderate
DL,20,moderate
DL,20,moderate
DL,20,moderate
DL,26,moderate
DL,30,moderate
DL,34,moderate
DL,46,moderate
DL,47,moderate
DL,59,moderate
DL,59,moderate
DL,59,moderate
DL,60,moderate
DL,62,severe
DL,66,severe
DL,66,severe
DL,66,severe
DL,69,severe
DL,70,severe
DL,71,severe
DL,72,severe
DL,72,severe
DL,80,severe
DL,98,severe
DL,104,severe
DL,104,severe
DL,104,severe
DL,107,severe
DL,115,severe
DL,115,severe
DL,131,severe
DL,134,severe
DL,134,severe
DL,144,severe
DL,146,severe
DL,150,severe
DL,150,severe
DL,150,severe
DL,156,severe
DL,156,severe
DL,156,severe
DL,164,severe
DL,167,severe
DL,168,severe
DL,173,severe
DL,,
DL,,
UA,-3,on_time_or_early
UA,-3,on_time_or_early
UA,0,on_time_or_early
UA,0,on_time_or_early
UA,4,minor
UA,11,minor
UA,15,minor
UA,19,moderate
UA,22,moderate
UA,22,moderate
UA,26,moderate
UA,28,moderate
UA,34,moderate
UA,34,moderate
UA,59,moderate
UA,59,moderate
UA,62,severe
UA,65,severe
UA,65,severe
UA,66,severe
UA,66,severe
UA,66,severe
UA,69,severe
UA,71,severe
UA,72,severe
UA,74,severe
UA,91,severe
UA,91,severe
UA,94,severe
UA,96,severe
UA,98,severe
UA,100,severe
UA,104,severe
UA,104,severe
UA,109,severe
UA,110,severe
UA,115,severe
UA,115,severe
UA,123,severe
UA,127,severe
UA,127,severe
UA,134,severe
UA,144,severe
UA,146,severe
UA,150,severe
UA,150,severe
UA,150,severe
UA,164,severe
UA,167,severe
UA,167,severe
UA,168,severe
UA,169,severe
UA,173,severe
UA,173,severe
UA,173,severe
WN,-3,on_time_or_early
WN,-1,on_time_or_early
WN,0,on_time_or_early
WN,3,minor
WN,3,minor
WN,4,minor
WN,11,minor
WN,11,minor
WN,12,minor
WN,15,minor
WN,19,moderate
WN,19,moderate
WN,20,moderate
WN,20,moderate
WN,20,moderate
WN,20,moderate
WN,20,moderate
WN,26,moderate
WN,26,moderate
WN,26,moderate
WN,28,moderate
WN,34,moderate
WN,34,moderate
WN,35,moderate
WN,35,moderate
WN,35,moderate
WN,35,moderate
WN,46,moderate
WN,60,moderate
WN,66,severe
WN,66,severe
WN,66,severe
WN,69,severe
WN,70,severe
WN,70,severe
WN,70,severe
WN,71,severe
WN,72,severe
WN,72,severe
WN,91,severe
WN,91,severe
WN,98,severe
WN,100,severe
WN,100,severe
WN,100,severe
WN,104,severe
WN,104,severe
WN,108,severe
WN,108,severe
WN,110,severe
WN,115,severe
WN,119,severe
WN,119,severe
WN,123,severe
WN,127,severe
WN,134,severe
WN,134,severe
WN,144,severe
WN,146,severe
WN,150,severe
WN,150,severe
WN,150,severe
WN,156,severe
WN,156,severe
WN,156,severe
WN,158,severe
WN,169,severe
WN,173,severe
WN,177,severe
WN,,
