carrier,dest,avg_dep_delay,flights
AA,ATL,58.76923076923077,13
AA,DFW,58.666666666666664,3
AA,JFK,47.294117647058826,17
AA,LAX,60.76923076923077,13
AA,LAX,12.5,5
AA,ORD,57.7,10
AA,SFO,75.11111111111111,9
B6,ATL,60.714285714285715,7
B6,DFW,105.58333333333333,12
B6,JFK,81.46666666666667,15
B6,LAX,76.75,12
B6,ORD,84.14285714285714,7
B6,SFO,78.8,15
DL,ATL,87.6,11
DL,DFW,78.83333333333333,13
DL,JFK,58.5,12
DL,LAX,78,10
DL,ORD,37.42857142857143,7
DL,SFO,77.55555555555556,9
UA,ATL,97.66666666666667,9
UA,DFW,93.85714285714286,14
UA,JFK,88.33333333333333,6
UA,LAX,70.38461538461539,13
UA,ORD,96,2
UA,ORD,8,3
UA,SFO,91.36363636363636,11
WN,ATL,89.72727272727273,11
WN,DFW,70.5,10
WN,JFK,101.5,6
WN,LAX,81.2,11
WN,ORD,75.21428571428571,14
WN,SFO,56.05555555555556,18
